#{"t_start": 1774404192.771334, "env_id": "None"}
r,l,t
6.91,139,3552.119847
8.88,59,3553.723269
9.6,23,3554.445738
8.19,83,3556.508408
8.07,95,3561.13196
8.08,76,3562.93253
6.94,100,3565.635467
8.85,71,3567.620398
7.42,64,3569.30256
8.81,57,3570.891899
9.64,28,3571.727035
8.38,55,3573.270631
7.46,111,3576.215055
7.76,99,3578.572206
-2.43,108,3581.489972
8.57,72,3583.323807
9.57,35,3584.255361
7.02,104,3586.77109
7.64,84,3589.063363
8.5,43,3590.262824
6.51,74,3592.084091
8.17,67,3593.87634
7.98,89,3596.222248
8.14,79,3598.414718
-3.02,140,3602.14054
9.44,48,3603.45318
8.56,73,3605.443357
9.02,72,3607.326496
8.82,56,3608.825628
8.61,59,3610.297183
9.36,29,3610.967582
8.03,72,3612.971517
7.86,53,3614.416518
8.24,60,3618.077142
6.8,78,3620.024739
8.62,49,3621.134989
8.94,56,3622.511766
8.73,56,3623.677615
8.67,53,3624.834118
-3.53,149,3628.794767
7.97,72,3630.615924
8.38,82,3632.733625
8.79,50,3634.071365
9.28,46,3635.211906
9.03,53,3636.706154
6.32,138,3640.575402
9.35,39,3641.584799
8.33,60,3643.065516
8.44,76,3644.686397
8.01,92,3647.405714
8.52,68,3649.232245
9.27,56,3650.752328
8.01,92,3653.141767
8.82,47,3654.425559
8.01,83,3656.548817
8.93,72,3658.435684
7.08,80,3660.586603
7.4,69,3662.327871
8.52,68,3664.184966
8.91,74,3666.263281
8.17,76,3668.175669
8.4,80,3672.660963
9.32,60,3674.217813
9.21,53,3675.589962
8.54,48,3676.994955
7.88,60,3678.763739
8.13,80,3680.863318
8.27,84,3683.070816
8.66,54,3684.573633
8.86,52,3686.005147
9.0,56,3687.423848
7.87,79,3689.529564
9.17,48,3690.923913
8.45,84,3693.194852
7.05,68,3695.113647
9.68,24,3695.853496
8.82,56,3697.331654
7.87,115,3700.372474
8.46,56,3701.984246
9.4,34,3702.882771
8.82,47,3704.180183
9.27,47,3705.514716
8.23,70,3707.416056
9.07,49,3708.796257
8.33,60,3710.608846
7.94,63,3712.35886
8.83,49,3713.581308
8.87,60,3715.381343
9.24,32,3716.220747
9.3,53,3717.6733
9.23,51,3719.011946
9.14,51,3720.293723
9.28,55,3721.771832
8.82,56,3723.236269
9.49,34,3724.249092
8.83,55,3725.666803
7.5,65,3727.448584
7.94,108,3732.72314
8.81,57,3734.24467
9.35,39,3735.254451
8.62,67,3736.991801
8.33,69,3739.031886
7.86,65,3740.750674
8.81,48,3742.079947
9.04,52,3743.675215
8.87,51,3745.284401
8.47,55,3746.765124
9.53,39,3747.81719
8.76,53,3749.366364
7.0,112,3752.412713
9.34,31,3753.283054
9.32,51,3754.712014
9.0,38,3755.765077
8.42,78,3757.87956
8.02,61,3759.744232
9.17,39,3760.75575
9.04,43,3762.005705
8.36,84,3764.273859
8.91,59,3765.6097
8.51,69,3767.212987
9.2,45,3768.465354
9.14,42,3769.633166
9.37,46,3770.955631
9.57,35,3772.017533
9.44,39,3773.30292
8.84,72,3775.288513
9.14,60,3776.954725
8.48,63,3778.794994
8.31,53,3780.323253
-2.17,118,3783.27582
8.69,60,3784.818071
8.63,48,3786.064523
8.96,60,3789.808404
8.88,50,3791.045326
6.19,91,3793.41637
9.1,46,3794.798363
9.54,38,3795.971822
8.92,46,3797.285309
8.64,50,3798.634341
8.43,95,3801.328519
8.42,69,3803.247125
8.51,60,3804.713095
8.08,49,3806.006984
8.36,93,3808.723071
9.16,31,3809.572893
8.51,60,3811.156913
8.84,63,3812.935302
9.37,37,3813.892921
8.25,68,3815.647514
8.99,48,3817.035179
9.13,43,3818.085871
8.89,58,3819.658842
8.9,66,3821.409996
8.64,47,3822.590962
8.21,51,3824.038834
7.45,97,3826.790541
8.96,69,3828.733281
8.12,63,3830.494669
9.51,32,3831.459428
9.33,32,3832.40206
9.1,55,3833.96589
9.15,41,3835.066364
9.0,56,3836.548063
9.33,41,3837.608668
9.42,41,3838.724581
9.52,31,3839.622909
6.99,74,3841.810363
8.69,69,3843.680062
7.21,118,3848.861286
6.98,108,3851.610245
8.8,58,3853.101395
9.25,31,3854.015134
8.24,69,3855.854478
9.37,46,3857.119032
9.22,52,3858.584536
8.25,77,3860.725079
6.99,149,3865.032969
8.62,67,3866.840799
8.29,55,3868.373446
9.21,44,3869.680349
8.94,62,3871.376058
8.99,39,3872.384722
9.3,35,3873.252505
8.66,63,3875.09089
8.72,57,3876.568984
8.71,58,3878.026282
7.78,70,3879.876754
